Type,Case Number,Intelligence Number,IR_Fraud Payment,Ground_Truth_Fraud Payment,Found in Source,Found in IR,IR_Can Be Located,Ground_Truth_Can Be Located,IR_Suspect Number,Ground Truth_Suspect Number,Source_Transaction Date (value),IR_Transaction Date (value),Ground_Truth_Transaction Date (value),Source_Originating Amount,IR_Originating Amount,Ground_Truth_Originating Amount,Source_Originating Currency,IR_Originating Currency,Ground_Truth_Originating Currency,Source_Originator Name,IR_Originator Name,Ground_Truth_Originator Name,Source_Originator Account Number,IR_Originator Account Number,Ground_Truth_Originator Account Number,Source_Originator Bank Raw,IR_Originator Bank Raw,Ground_Truth_Originator Bank Raw,Source_Beneficiary Name,IR_Beneficiary Name,Ground_Truth_Beneficiary Name,Source_Beneficiary Account Number,IR_Beneficiary Account Number,Ground_Truth_Beneficiary Account Number,Source_Beneficiary Bank Raw,IR_Beneficiary Bank Raw,Ground_Truth_Beneficiary Bank Raw,Source_Transaction Channel,IR_Transaction Channel,Ground_Truth_Transaction Channel,Remarks
Police Letter,9,1,1,,,TRUE,TRUE,,1,,,25/7/2024,,,"50,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
Police Letter,10,1,1,,,TRUE,TRUE,,1,,,22/5/2024,,,"3,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,ATM,,
Police Letter,10,1,2,,,TRUE,TRUE,,3,,,22/5/2024,,,"50,000.00",,,HKD,,,null,,,null,,,null,,,CHIU,,,111-111111-103,,,HASE,,,cash deposit via ATM,,
Police Letter,11,1,1,,,TRUE,TRUE,,1,,,29/6/2024,,,"25,500.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ODFT,12,1,1,,,TRUE,TRUE,,1,,,17/7/2024,,,"30,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,ATM,,
Police Letter,12,2,2,,,TRUE,TRUE,,1,,,17/7/2024,,,"9,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
Police Letter,12,3,3,,,TRUE,TRUE,,1,,,15/7/2024,,,"40,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
UAR,13,1,1,,,TRUE,TRUE,,1,,,21/8/2024,,,"1,244.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,14,1,1,,,TRUE,TRUE,,1,,,26/7/2024,,,"10,000.00",,,HKD,,,YEUNG KAI,,,66666666601,,,China Construction Bank (Asia) Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
Search Warrant,14,2,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,14,3,2,,,TRUE,TRUE,,1,,,28/7/2024,,,"17,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
Search Warrant,14,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCC,14,5,3,,,TRUE,TRUE,,1,,,25/7/2024,,,"135,524.00",,,HKD,,,TSANG SIU MING,,,66666666602,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
Police Letter,14,6,4,,,TRUE,TRUE,,1,,,27/7/2024,,,"20,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,14,6,5,,,TRUE,TRUE,,1,,,27/7/2024,,,"35,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HSB,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ODFT,15,1,1,,,TRUE,TRUE,,1,,,10/8/2024,,,"164,024.00",,,HKD,,,CHEUNG TAK SHING,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,15,3,2,,,TRUE,TRUE,,1,,,11/8/2024,,,"98,001.00",,,HKD,,,YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Search Warrant,15,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODFT,15,5,3,,,TRUE,TRUE,,1,,,10/8/2024,,,"10,169.00",,,HKD,,,YAN MEI MEI,,,222-222222-102,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ODFT,15,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,15,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,15,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCC,16,1,1,,,TRUE,TRUE,,1,,,30/9/2024,,,"198,500.00",,,HKD,,,YEUNG KAI,,,66666666601,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,17,1,1,,,TRUE,TRUE,,1,,,16/7/2024,,,"40,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,null,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,17,2,2,,,TRUE,TRUE,,1,,,15/7/2024,,,"40,500.00",,,HKD,,,YAN,,,222-222222-102,,,null,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,17,3,3,,,TRUE,TRUE,,1,,,15/7/2024,,,"90,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
HSBC Referral,18,1,1,,,TRUE,TRUE,,1,,,10/12/2024,,,"5,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,18,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,18,3,2,,,TRUE,TRUE,,1,,,10/12/2024,,,"1,500.00",,,HKD,,,YAN MEI MEI,,,444-4444444-102,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Search Warrant,18,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,18,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,19,1,1,,,TRUE,TRUE,,1,,,23/12/2024,,,"20,000.00",,,HKD,,,ABC1 Limited,,,444-4444444-101,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
ODFT,20,1,1,,,TRUE,TRUE,,0,,,10/12/2024,,,"46,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHUNG SIU,,,333-333333-102,,,HSBC,,,null,,"AS reported payment 1 transferred to non-HASE account, no further investigation."
ODFT,20,1,2,,,TRUE,TRUE,,1,,,11/12/2024,,,"46,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,21,1,1,,,TRUE,TRUE,,1,,,3/12/2024,,,"145,886.00",,,HKD,,,YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Police Letter,21,2,2,,,TRUE,TRUE,,1,,,3/12/2024,,,"144,123.00",,,HKD,,,null,,,666-66666-602,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,3,,,TRUE,TRUE,,1,,,3/12/2024,,,"2,997.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,4,,,TRUE,TRUE,,1,,,3/12/2024,,,"7,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,5,,,TRUE,TRUE,,1,,,3/12/2024,,,"5,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,6,,,TRUE,TRUE,,1,,,3/12/2024,,,"50,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,7,,,TRUE,TRUE,,1,,,3/12/2024,,,"29,999.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,8,,,TRUE,TRUE,,1,,,3/12/2024,,,"29,998.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,9,,,TRUE,TRUE,,1,,,3/12/2024,,,"7,999.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,10,,,TRUE,TRUE,,1,,,3/12/2024,,,"10,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,11,,,TRUE,TRUE,,1,,,3/12/2024,,,"10,003.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,12,,,TRUE,TRUE,,1,,,3/12/2024,,,"10,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,13,,,TRUE,TRUE,,1,,,3/12/2024,,,"7,999.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,21,3,14,,,TRUE,TRUE,,1,,,3/12/2024,,,"50,001.00",,,HKD,,,CHAN,,,null,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Search Warrant,21,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,22,1,1,,,TRUE,TRUE,,1,,,1/12/2024,,,"150,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,22,1,2,,,TRUE,TRUE,,1,,,1/12/2024,,,"10,575.19",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
Search Warrant,22,2,3,,,TRUE,FALSE,,1,,,2/12/2024,,,"6,868.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,22,3,4,,,TRUE,TRUE,,1,,,3/12/2024,,,"6,180.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
HSBC Referral,23,1,1,,,TRUE,TRUE,,1,,,3/12/2024,,,"2,997.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,23,1,2,,,TRUE,TRUE,,1,,,3/12/2024,,,"144,123.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,ATM,,
HSBC Referral,23,2,3,,,TRUE,TRUE,,1,,,3/12/2024,,,"50,001.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,23,3,4,,,TRUE,TRUE,,1,,,3/12/2024,,,"7,001.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,23,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,23,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,23,6,5,,,TRUE,TRUE,,1,,,3/12/2024,,,"5,001.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,23,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,23,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,23,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Warrant,23,10,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,23,11,6,,,TRUE,TRUE,,1,,,3/12/2024,,,"50,001.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,23,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODFT,24,1,1,,,TRUE,TRUE,,1,,,29/11/2024,,,"100,000.00",,,HKD,,,YEUNG KAI,,,666-66666-601,,,Standard Chartered Bank (Hong Kong) Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
UAR,24,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,24,3,2,,,TRUE,TRUE,,1,,,29/11/2024,,,"70,000.00",,,HKD,,,MR CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
HSBC Referral,24,3,3,,,TRUE,TRUE,,1,,,29/11/2024,,,"100,000.00",,,HKD,,,MR CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
HSBC Referral,24,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,24,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,24,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Warrant,24,7,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,25,1,1,,,TRUE,TRUE,,1,,,8/11/2024,,,"25,900.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
UAR,25,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Warrant,25,3,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,26,1,1,,,TRUE,TRUE,,1,,,24/11/2024,,,"12,778.00",,,HKD,,,MS YEUNG KAI,,,666-66666-601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,ATM,,
HSBC Referral,26,2,2,,,TRUE,TRUE,,1,,,24/11/2024,,,"49,833.00",,,HKD,,,MS TSANG SIU MING,,,666-66666-602,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
HSBC Referral,26,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,27,1,1,,,TRUE,TRUE,,1,,,3/1/2025,,,"150,600.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer CHAN TAI MAN
HSBC Referral,27,2,2,,,TRUE,TRUE,,1,,,4/1/2025,,,"80,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer CHAN TAI MAN
HSBC Referral,27,2,3,,,TRUE,TRUE,,1,,,3/1/2025,,,"46,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer CHAN TAI MAN
HSBC Referral,27,3,4,,,TRUE,TRUE,,1,,,3/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer CHAN TAI MAN
UAR,27,4,5,,,TRUE,TRUE,,1,,,3/1/2025,,,"40,200.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,27,5,6,,,TRUE,FALSE,,1,,,4/1/2025,,,"45,500.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
