Index,Type,Case Number,Intelligence Number,Transaction_Fraud Payment,IR_Fraud Payment,GroundTruth_Fraud Payment,Transaction ID,Found in Source,Transaction_Located,Found in IR,IR_Can Be Located,GroundTruth_Can Be Located,IR_Suspect Number,GroundTruth_Suspect Number,Transaction_Transaction Date (value),Source_Transaction Date (value),IR_Transaction Date (value),GroundTruth_Transaction Date (value),Transaction_Originating Amount,Source_Originating Amount,IR_Originating Amount,GroundTruth_Originating Amount,Transaction_Originating Currency,Source_Originating Currency,IR_Originating Currency,GroundTruth_Originating Currency,Source_Cancel Amount Requested,GroundTruth_Cancel Amount Requested,Transaction_Originator Name,Source_Originator Name,IR_Originator Name,GroundTruth_Originator Name,Transaction_Originator Account Number,Source_Originator Account Number,IR_Originator Account Number,GroundTruth_Originator Account Number,Transaction_Originator Bank Raw,Source_Originator Bank Raw,IR_Originator Bank Raw,GroundTruth_Originator Bank Raw,Transaction_Beneficiary Name,Source_Beneficiary Name,IR_Beneficiary Name,GroundTruth_Beneficiary Name,Transaction_Beneficiary Account Number,Source_Beneficiary Account Number,IR_Beneficiary Account Number,GroundTruth_Beneficiary Account Number,Transaction_Beneficiary Bank Raw,Source_Beneficiary Bank Raw,IR_Beneficiary Bank Raw,GroundTruth_Beneficiary Bank Raw,Transaction Type Source,Transaction Code Description,Source_Transaction Channel,IR_Transaction Channel,GroundTruth_Transaction Channel,Source Remarks,Remarks,Q1
74,ADCC,14,5,3,3,3,0e7a6906-158c-4162-85c6-1348fad1a84a,True,True,True,True,True,1,1,2024-07-25 00:00:00,2024-07-25 00:00:00,2024-07-25 00:00:00,2024-07-25 00:00:00,135524,135524,135524,135524,HKD,HKD,HKD,HKD,,,TSANG SIU MING,TSANG SIU MING,TSANG SIU MING,TSANG SIU MING,66666666602,66666666602,66666666602,66666666602,The Hongkong and Shanghai Banking Corporation Limited,HSBC,HSBC,The Hongkong and Shanghai Banking Corporation Limited,MR CHAN TAI MAN,CHAN TAI MAN,CHAN,MR CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,FPS,FPS,,,
86,ADCC,16,1,1,1,1,dac3f456-fb82-4b5a-8316-e7db3554105e,True,True,True,True,True,1,1,2024-09-30 00:00:00,2024-09-30 00:00:00,2024-09-30 00:00:00,2024-09-30 00:00:00,198500,198500,198500,198500,HKD,HKD,HKD,HKD,,,YEUNG KAI,YEUNG KAI,YEUNG KAI,YEUNG KAI,66666666601,66666666601,66666666601,66666666601,China Construction Bank (Asia) Corporation Limited,CCBA,CCBA,China Construction Bank (Asia) Corporation Limited,MR CHAN TAI MAN,CHAN TAI MAN,CHAN,MR CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
98,ADCC,21,1,1,1,1,f9975575-3d90-4e0d-b0f9-3aa8bf65cda5,True,True,True,True,True,1,1,2024-12-03 00:00:00,2024-12-03 00:00:00,2024-12-03 00:00:00,2024-12-03 00:00:00,145886,145886,145886,145886,HKD,HKD,HKD,HKD,,,YEUNG KAI,YEUNG KAI,YEUNG KAI,YEUNG KAI,66666666601,666-66666-601,66666666601,66666666601,The Hongkong and Shanghai Banking Corporation Limited,HSBC,HSBC,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,CHAN TAI MAN,CHAN,MR CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
129,ADCC,23,12,2,2,2,4fa4fc74-d89c-43cb-9d70-c6a9978382c2,True,True,True,True,True,1,1,2024-12-03 00:00:00,2024-12-03 00:00:00,2024-12-03 00:00:00,2024-12-03 00:00:00,144123,144123,144123,144123,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,444-4444444-101,444-4444444-101,444-4444444-101,444-4444444-101,,HSBC,HSBC,HSBC,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,,HSB,HASE,HSB,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,,ATM,ATM,,,
151,ADCC,28,1,1=7,1,1=7,c429a9b1-fd9b-429f-8e99-04ba777f1b0b,True,True,True,True,True,1,1,2024-12-30,2024-12-30,2024-12-30 00:00:00,2024-12-30 00:00:00,100000,100000,100000,100000,HKD,HKD,HKD,HKD,,,,CASH CASH,,,,,,,,,,,"MR CHAN, TAI MAN","CHAN, TAI MAN ",CHAN,"MR CHAN, TAI MAN",111-111111-101,111-111111-101,111-111111-101,111-111111-101,,HSB,HASE,HSB,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,,cash,cash,,,
152,ADCC,28,1,2=8,2,2=8,116fd01f-e42f-4067-89b1-e7e386fa416e,True,True,True,True,True,2,2,2024-12-30,2024-12-30,2024-12-30 00:00:00,2024-12-30 00:00:00,100000,100000,100000,100000,HKD,HKD,HKD,HKD,,,,CASH CASH,,,,,,,,,,,MR CHUNG SIU,CHUNG SIU,CHUNG,MR CHUNG SIU,111-111111-102,111-111111-102,111-111111-102,111-111111-102,,HSB,HASE,HSB,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,,cash,cash,,,
153,ADCC,28,1,3=9,3,3=9,966eb655-4867-474b-9d57-2b5656b0b418,True,True,True,True,True,2,2,2024-12-31,2024-12-31,2024-12-31 00:00:00,2024-12-31 00:00:00,100000,100000,100000,100000,HKD,HKD,HKD,HKD,,,,CASH CASH,,,,,,,,,,,MR CHUNG SIU,CHUNG SIU,CHUNG,MR CHUNG SIU,111-111111-102,111-111111-102,111-111111-102,111-111111-102,,HSB,HASE,HSB,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,,cash,cash,,,
154,ADCC,28,1,4=11,4,4=11,30b47b0b-53b0-4944-a42a-c3dfba7fc2bf,True,True,True,True,True,3,3,2024-12-31,2024-12-31,2024-12-31 00:00:00,2024-12-31 00:00:00,100000,100000,100000,100000,HKD,HKD,HKD,HKD,,,,CASH CASH,,,,,,,,,,,MR CHIU YAN,CHIU YAN,CHIU,MR CHIU YAN,111-111111-103,111-111111-103,111-111111-103,111-111111-103,,HSB,HASE,HSB,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,,cash,cash,,,
155,ADCC,28,1,5,5,5,1803bd6d-e8f1-46a9-95f8-7d47b9836d5c,True,True,True,True,True,4,4,2024-12-30 00:00:00,2024-12-30,2024-12-30 00:00:00,2024-12-30 00:00:00,50000,50000,50000,50000,HKD,HKD,HKD,HKD,,,,CASH CASH,,,,,,,,,,,MR CHONG MAN,CHIU YAN,CHONG,MR CHONG MAN,111-111111-104,111-111111-104,111-111111-104,111-111111-104,,HSB,HASE,HSB,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,,cash,cash,,,
156,ADCC,28,1,6,6,6,2e7f76e0-25e3-465f-a403-e529cc75b7eb,True,True,True,True,True,4,4,2024-12-30 00:00:00,2024-12-30,2024-12-30 00:00:00,2024-12-30 00:00:00,50000,50000,50000,50000,HKD,HKD,HKD,HKD,,,,CASH CASH,,,,,,,,,,,MR CHONG MAN,CHONG MAN,CHONG,MR CHONG MAN,111-111111-104,111-111111-104,111-111111-104,111-111111-104,,HSB,HASE,HSB,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,,cash,cash,,,
178,ADCC,31,1,1,1,1,5f631a24-86b5-4572-bec7-0d1663525a75,True,True,True,True,True,1,1,2025-02-04 00:00:00,2025-02-04,2025-02-04 00:00:00,2025-02-04,110555,110555,110555,110555,C,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,444-4444444-101,444-4444444-101,444-4444444-101,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CCBA,CCBA,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
179,ADCC,31,1,2,2,2,d2d5de52-a25a-441d-863c-bc3e9c98cc1e,True,True,True,True,True,1,1,2025-02-04 00:00:00,2025-02-04,2025-02-04 00:00:00,2025-02-04,50000,50000,50000,50000,C,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,444-4444444-101,444-4444444-101,444-4444444-101,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CCBA,CCBA,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
180,ADCC,31,1,3,3,3,4350270b-a05a-4161-947a-1a51bc254666,True,True,True,True,True,1,1,2025-02-05 00:00:00,2025-02-05,2025-02-05 00:00:00,2025-02-05,200000,200000,200000,200000,C,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,444-4444444-101,444-4444444-101,444-4444444-101,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CCBA,CCBA,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
181,ADCC,31,1,4,4,4,d20e4d67-3a22-42fc-bbf9-8b1817d52600,True,True,True,True,True,1,1,2025-02-05 00:00:00,2025-02-05,2025-02-05 00:00:00,2025-02-05,200000,200000,200000,200000,C,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,666-666666-101,666-666666-101,666-666666-101,666-666666-101,DBS Bank (Hong Kong) Ltd.,DBS,DBS,DBS Bank (Hong Kong) Ltd.,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
209,ADCC,35,1,1,1,1,6f7549ca-21d3-4f5b-bbfa-bebd7e49290f,True,True,True,True,True,1,1,2025-01-20 00:00:00,2025-01-20 00:00:00,2025-01-20 00:00:00,2025-01-20 00:00:00,130000,130000,130000,130000,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,444-4444444-101,444-4444444-101,444-4444444-101,444-4444444-101,Bank of Communications (Hong Kong) Ltd.,Bank of Com,Bank of Communications (Hong Kong) Ltd.,Bank of Communications (Hong Kong) Ltd.,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,FPS:122222221,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
221,ADCC,37,1,1,1,1,8b2bb8a8-4c97-4f85-9dd6-a6f2e2f736bc,True,True,True,True,True,1,1,2024-12-31 00:00:00,2024-12-31 00:00:00,2024-12-31 00:00:00,2024-12-31 00:00:00,55100,55100,55100,55100,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG,CHEUNG TAK SHING,222-222222-101,222-222222-101,222-222222-101,222-222222-101,,HSB,HASE,HSB,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,,HSB,HASE,HSB,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,,,,,,
222,ADCC,37,1,2,2,2,b1fe1784-1964-4b91-8c88-f502ac962761,True,True,True,True,True,1,1,2024-12-31 00:00:00,2024-12-31 00:00:00,2024-12-31 00:00:00,2024-12-31 00:00:00,66120,66120,66120,66120,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG,CHEUNG TAK SHING,222-222222-101,222-222222-101,222-222222-101,222-222222-101,,HSB,HASE,HSB,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,,HSB,HASE,HSB,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,,,,,,
223,ADCC,37,1,3,3,3,e4722871-cd22-445e-972c-7bd988be6b42,True,True,True,True,True,1,1,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,52460,52460,52460,52460,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG,CHEUNG TAK SHING,222-222222-101,222-222222-101,222-222222-101,222-222222-101,,HSB,HASE,HSB,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,,HSB,HASE,HSB,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,,,,,,
224,ADCC,37,1,4,4,4,37ad91db-c7d2-495b-b471-e2c6bd34efb0,True,True,True,True,True,2,2,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,113504,113504,113504,113504,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG,CHEUNG TAK SHING,222-222222-101,222-222222-101,222-222222-101,222-222222-101,,HSB,HASE,HSB,CHUNG SIU,CHUNG SIU,CHUNG,CHUNG SIU,111-111111-102,111-111111-102,111-111111-102,111-111111-102,,HSB,HASE,HSB,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,,,,,,
229,ADCC,38,1,1,1,1,124a7b9d-c52d-4f21-b135-7a38ec924c26,True,True,True,True,True,1,1,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 00:00:00,116523.87,116523.87,116523.87,116523.87,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,CHEUNG TAK SHING,444-4444444-101,444-4444444-101,444-4444444-101,444-4444444-101,The Hongkong and Shanghai Banking Corporation Limited,HSBC,HSBC,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
231,ADCC,38,3,2,2,2,68da62b3-dfb7-4421-940d-ac999f8fd6f9,True,True,True,True,True,1,1,2024-12-30 00:00:00,2024-12-30 00:00:00,2024-12-30 00:00:00,2024-12-30 00:00:00,150000,150000,150000,150000,HKD,HKD,HKD,HKD,,,YAN MEI MEI,YAN MEI MEI,YAN MEI MEI,YAN MEI MEI,444-4444444-102,444-4444444-102,444-4444444-102,444-4444444-102,Bank of China (Hong Kong) Limited,BOC,Bank of China (Hong Kong) Limited,Bank of China (Hong Kong) Limited,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,FPS: 122222221,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
235,ADCC,39,1,1,1,1,eef1a152-90b6-4b2c-bbf4-94d20d0e9047,True,True,True,True,True,1,1,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,100000,100000,100000,100000,HKD,HKD,HKD,HKD,,,CHAN TAI MAN,CHAN TAI MAN,CHAN TAI MAN,CHAN TAI MAN,333-333333-101,333-333333-101,333-333333-101,333-333333-101,STANDARD CHARTERED BANK (HONG KONG) LIMITED,SCB,SCB,STANDARD CHARTERED BANK (HONG KONG) LIMITED,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
236,ADCC,39,1,2,2,2,d470b32b-bc91-4d54-a3e9-d0236a5c13ee,True,True,True,True,True,1,1,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,100000,100000,100000,100000,HKD,HKD,HKD,HKD,,,CHAN TAI MAN,CHAN TAI MAN,CHAN TAI MAN,CHAN TAI MAN,333-333333-101,333-333333-101,333-333333-101,333-333333-101,STANDARD CHARTERED BANK (HONG KONG) LIMITED,SCB,SCB,STANDARD CHARTERED BANK (HONG KONG) LIMITED,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
237,ADCC,39,1,3,3,3,ef59533d-7110-4569-8bf8-e3d0d5452c79,True,True,True,True,True,1,1,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,100000,100000,100000,100000,HKD,HKD,HKD,HKD,,,CHAN TAI MAN,CHAN TAI MAN,CHAN TAI MAN,CHAN TAI MAN,333-333333-101,333-333333-101,333-333333-101,333-333333-101,STANDARD CHARTERED BANK (HONG KONG) LIMITED,SCB,SCB,STANDARD CHARTERED BANK (HONG KONG) LIMITED,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
238,ADCC,39,1,4,4,4,0c4e40e2-f9ff-49c5-aa56-d230c0954b5c,True,True,True,True,True,1,1,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,2025-01-02 00:00:00,100000,100000,100000,100000,HKD,HKD,HKD,HKD,,,CHAN TAI MAN,CHAN TAI MAN,CHAN TAI MAN,CHAN TAI MAN,333-333333-101,333-333333-101,333-333333-101,333-333333-101,STANDARD CHARTERED BANK (HONG KONG) LIMITED,SCB,SCB,STANDARD CHARTERED BANK (HONG KONG) LIMITED,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
